id,x,y
0,706.0,137.0
1,392.0,662.0
2,692.0,274.0
3,944.0,370.0
4,726.0,945.0
5,869.0,43.0
6,621.0,770.0
7,112.0,402.0
8,523.0,374.0
9,619.0,178.0
10,553.0,457.0
11,95.0,814.0
12,696.0,130.0
13,27.0,417.0
14,940.0,487.0
15,943.0,965.0
16,670.0,435.0
17,931.0,752.0
18,307.0,776.0
19,404.0,101.0
20,199.0,526.0
21,117.0,312.0
22,762.0,505.0
23,433.0,864.0
24,868.0,155.0
25,832.0,870.0
26,488.0,624.0
27,686.0,782.0
28,585.0,89.0
29,268.0,339.0
30,248.0,344.0
31,22.0,776.0
32,89.0,614.0
33,75.0,271.0
34,882.0,646.0
35,6.0,656.0
36,449.0,27.0
37,857.0,362.0
38,809.0,774.0
39,403.0,626.0
40,559.0,145.0
41,667.0,945.0
42,524.0,737.0
43,683.0,777.0
44,641.0,798.0
45,514.0,495.0
46,102.0,813.0
47,517.0,591.0
48,748.0,330.0
49,859.0,127.0
50,699.0,41.0
51,281.0,442.0
52,257.0,106.0
53,116.0,99.0
54,41.0,732.0
55,555.0,95.0
56,378.0,1.0
57,155.0,308.0
58,942.0,955.0
59,619.0,205.0
60,646.0,910.0
61,796.0,791.0
62,785.0,49.0
63,958.0,817.0
64,424.0,240.0
65,311.0,226.0
66,37.0,119.0
67,761.0,866.0
68,404.0,417.0
69,929.0,432.0
70,743.0,535.0
71,418.0,679.0
72,107.0,379.0
73,329.0,868.0
74,22.0,432.0
75,24.0,474.0
76,380.0,83.0
77,145.0,135.0
78,576.0,209.0
79,877.0,859.0
80,901.0,0.0
81,464.0,473.0
82,181.0,35.0
83,976.0,331.0
84,672.0,617.0
85,324.0,264.0
86,193.0,341.0
87,525.0,782.0
88,527.0,935.0
89,218.0,529.0
90,48.0,325.0
91,431.0,989.0
92,626.0,974.0
93,594.0,432.0
94,757.0,450.0
95,805.0,123.0
96,959.0,266.0
97,348.0,776.0
98,409.0,946.0
99,458.0,247.0
100,841.0,361.0
101,333.0,503.0
102,675.0,306.0
103,407.0,811.0
104,418.0,325.0
105,856.0,199.0
106,300.0,792.0
107,371.0,156.0
108,163.0,237.0
109,172.0,589.0
110,609.0,928.0
111,273.0,18.0
112,379.0,694.0
113,996.0,38.0
114,4.0,6.0
115,738.0,18.0
116,693.0,307.0
117,989.0,54.0
118,468.0,585.0
119,594.0,172.0
120,563.0,205.0
121,271.0,783.0
122,58.0,987.0
123,374.0,383.0
124,775.0,530.0
125,913.0,512.0
126,413.0,798.0
127,813.0,948.0
128,943.0,941.0
129,437.0,169.0
130,247.0,374.0
131,347.0,51.0
132,8.0,111.0
133,321.0,825.0
134,854.0,335.0
135,619.0,272.0
136,742.0,232.0
137,496.0,187.0
138,605.0,66.0
139,973.0,75.0
140,241.0,509.0
141,845.0,106.0
142,451.0,217.0
143,955.0,319.0
144,432.0,662.0
145,704.0,73.0
146,418.0,205.0
147,817.0,754.0
148,570.0,429.0
149,362.0,720.0
150,114.0,713.0
151,11.0,516.0
152,737.0,62.0
153,563.0,318.0
154,222.0,187.0
155,697.0,638.0
156,343.0,830.0
157,1.0,279.0
158,3.0,342.0
159,231.0,539.0
160,628.0,515.0
161,827.0,658.0
162,801.0,656.0
163,679.0,529.0
164,158.0,918.0
165,142.0,648.0
166,530.0,874.0
167,305.0,312.0
168,328.0,352.0
169,501.0,82.0
170,189.0,506.0
171,78.0,479.0
172,863.0,149.0
173,413.0,938.0
174,353.0,328.0
175,173.0,12.0
176,311.0,155.0
177,839.0,829.0
178,674.0,882.0
179,463.0,786.0
180,554.0,231.0
181,693.0,512.0
182,382.0,975.0
183,28.0,64.0
184,298.0,757.0
185,343.0,385.0
186,789.0,178.0
187,650.0,2.0
188,580.0,122.0
189,111.0,986.0
190,779.0,332.0
191,311.0,146.0
192,263.0,238.0
193,770.0,491.0
194,319.0,39.0
195,703.0,930.0
196,539.0,28.0
197,45.0,221.0
198,954.0,171.0
199,714.0,181.0
200,428.0,934.0
201,120.0,134.0
202,301.0,361.0
203,940.0,618.0
204,277.0,407.0
205,126.0,331.0
206,564.0,510.0
207,177.0,346.0
208,265.0,422.0
209,651.0,553.0
210,19.0,286.0
211,928.0,367.0
212,894.0,965.0
213,232.0,681.0
214,523.0,620.0
215,894.0,67.0
216,498.0,538.0
217,864.0,235.0
218,8.0,209.0
219,482.0,729.0
220,736.0,659.0
221,491.0,881.0
222,990.0,18.0
223,303.0,19.0
224,98.0,362.0
225,513.0,920.0
226,54.0,777.0
227,669.0,503.0
228,401.0,696.0
229,282.0,796.0
230,373.0,477.0
231,97.0,129.0
232,289.0,226.0
233,604.0,594.0
234,192.0,881.0
235,806.0,742.0
236,737.0,534.0
237,235.0,539.0
238,335.0,13.0
239,218.0,573.0
240,544.0,714.0
241,389.0,497.0
242,706.0,668.0
243,459.0,745.0
244,841.0,879.0
245,229.0,474.0
246,786.0,899.0
247,857.0,774.0
248,585.0,656.0
249,373.0,117.0
250,132.0,531.0
251,444.0,64.0
252,60.0,688.0
253,392.0,214.0
254,884.0,652.0
255,455.0,410.0
256,384.0,134.0
257,309.0,192.0
258,255.0,115.0
259,828.0,499.0
260,995.0,168.0
261,102.0,622.0
262,40.0,41.0
263,704.0,407.0
264,164.0,482.0
265,201.0,711.0
266,110.0,315.0
267,928.0,101.0
268,490.0,778.0
269,991.0,811.0
270,916.0,88.0
271,545.0,940.0
272,398.0,279.0
273,304.0,912.0
274,984.0,276.0
275,308.0,171.0
276,644.0,223.0
277,934.0,144.0
278,420.0,61.0
279,169.0,435.0
280,810.0,360.0
281,121.0,281.0
282,409.0,392.0
283,787.0,260.0
284,805.0,460.0
285,62.0,236.0
286,713.0,481.0
287,18.0,568.0
288,369.0,806.0
289,407.0,560.0
290,172.0,307.0
291,429.0,168.0
292,570.0,697.0
293,755.0,949.0
294,204.0,115.0
295,785.0,263.0
296,301.0,949.0
297,163.0,735.0
298,308.0,916.0
299,553.0,947.0
300,787.0,391.0
301,640.0,395.0
302,556.0,985.0
303,408.0,699.0
304,77.0,370.0
305,647.0,45.0
306,101.0,363.0
307,724.0,896.0
308,554.0,248.0
309,597.0,941.0
310,677.0,358.0
311,80.0,300.0
312,422.0,903.0
313,359.0,979.0
314,89.0,43.0
315,759.0,567.0
316,217.0,226.0
317,755.0,196.0
318,727.0,756.0
319,243.0,741.0
320,305.0,628.0
321,55.0,272.0
322,54.0,601.0
323,723.0,760.0
324,376.0,531.0
325,491.0,26.0
326,116.0,948.0
327,588.0,950.0
328,952.0,878.0
329,740.0,917.0
330,33.0,931.0
331,934.0,527.0
332,878.0,622.0
333,436.0,544.0
334,506.0,952.0
335,56.0,100.0
336,833.0,235.0
337,666.0,148.0
338,311.0,177.0
339,958.0,167.0
340,820.0,203.0
341,468.0,112.0
342,805.0,38.0
343,840.0,619.0
344,672.0,531.0
345,336.0,457.0
346,422.0,735.0
347,610.0,233.0
348,549.0,234.0
349,717.0,345.0
350,174.0,728.0
351,379.0,181.0
352,441.0,849.0
353,507.0,580.0
354,152.0,247.0
355,959.0,525.0
356,665.0,922.0
357,560.0,104.0
358,24.0,789.0
359,366.0,714.0
360,364.0,519.0
361,180.0,505.0
362,537.0,611.0
363,319.0,92.0
364,12.0,721.0
365,627.0,506.0
366,14.0,240.0
367,742.0,392.0
368,913.0,124.0
369,611.0,472.0
370,861.0,969.0
371,258.0,237.0
372,692.0,340.0
373,798.0,911.0
374,55.0,353.0
375,698.0,642.0
376,810.0,497.0
377,303.0,968.0
378,659.0,716.0
379,592.0,510.0
380,50.0,737.0
381,199.0,933.0
382,307.0,646.0
383,676.0,138.0
384,27.0,719.0
385,9.0,732.0
386,717.0,497.0
387,387.0,712.0
388,684.0,116.0
389,211.0,434.0
390,180.0,889.0
391,367.0,808.0
392,790.0,121.0
393,735.0,751.0
394,69.0,205.0
395,960.0,894.0
396,442.0,938.0
397,464.0,531.0
398,334.0,100.0
399,713.0,827.0
400,568.0,287.0
401,734.0,265.0
402,1.0,988.0
403,877.0,355.0
404,421.0,908.0
405,835.0,584.0
406,679.0,551.0
407,905.0,619.0
408,84.0,49.0
409,509.0,761.0
410,49.0,237.0
411,954.0,648.0
412,970.0,982.0
413,452.0,208.0
414,375.0,760.0
