id,lambda
0,0.0
1,6.0
2,1.0
3,10.0
4,7.0
5,6.0
6,2.0
7,8.0
8,7.0
9,3.0
10,5.0
11,1.0
12,4.0
13,10.0
14,4.0
15,10.0
16,3.0
17,6.0
18,4.0
19,3.0
20,10.0
21,8.0
22,6.0
23,7.0
24,7.0
25,4.0
26,1.0
27,5.0
28,3.0
29,6.0
30,8.0
31,5.0
32,9.0
33,6.0
34,9.0
35,9.0
36,4.0
37,1.0
38,9.0
39,10.0
40,2.0
41,4.0
42,1.0
43,10.0
44,1.0
45,10.0
46,2.0
47,10.0
48,1.0
49,4.0
50,5.0
51,5.0
52,6.0
53,6.0
54,9.0
55,4.0
56,4.0
57,9.0
58,3.0
59,7.0
60,6.0
61,8.0
62,5.0
63,9.0
64,3.0
65,9.0
66,1.0
67,1.0
68,5.0
69,7.0
70,6.0
71,6.0
72,9.0
73,3.0
74,8.0
75,5.0
76,9.0
77,10.0
78,9.0
79,5.0
80,9.0
81,5.0
82,10.0
83,1.0
84,2.0
85,9.0
86,3.0
87,8.0
88,2.0
89,6.0
90,1.0
91,3.0
92,1.0
93,8.0
94,8.0
95,6.0
96,9.0
97,5.0
98,5.0
99,9.0
100,1.0
101,9.0
102,6.0
103,3.0
104,4.0
105,9.0
106,7.0
107,1.0
108,9.0
109,6.0
110,10.0
111,2.0
112,3.0
113,9.0
114,6.0
115,4.0
116,9.0
117,10.0
118,3.0
119,7.0
120,6.0
121,6.0
122,4.0
123,5.0
124,9.0
125,2.0
126,2.0
127,4.0
128,5.0
129,6.0
130,1.0
131,5.0
132,4.0
133,3.0
134,4.0
135,9.0
136,4.0
137,3.0
138,5.0
139,10.0
140,2.0
141,5.0
142,8.0
143,8.0
144,10.0
145,7.0
146,3.0
147,6.0
148,9.0
149,5.0
150,2.0
151,10.0
152,4.0
153,9.0
154,2.0
155,6.0
156,1.0
157,6.0
158,1.0
159,1.0
160,7.0
161,10.0
162,7.0
163,3.0
164,6.0
165,4.0
166,4.0
167,3.0
168,5.0
169,4.0
170,2.0
171,5.0
172,1.0
173,10.0
174,7.0
175,3.0
176,7.0
177,10.0
178,10.0
179,2.0
180,3.0
181,10.0
182,6.0
183,3.0
184,1.0
185,4.0
186,3.0
187,10.0
188,10.0
189,4.0
190,8.0
191,5.0
192,2.0
193,8.0
194,2.0
195,5.0
196,8.0
197,7.0
198,10.0
199,1.0
200,5.0
201,4.0
202,7.0
203,8.0
204,7.0
205,8.0
206,3.0
207,2.0
208,9.0
209,7.0
210,5.0
211,3.0
212,3.0
213,10.0
214,8.0
215,5.0
216,5.0
217,3.0
218,7.0
219,9.0
220,5.0
221,2.0
222,7.0
223,3.0
224,6.0
225,1.0
226,6.0
227,3.0
228,1.0
229,8.0
230,5.0
231,1.0
232,9.0
233,2.0
234,9.0
235,3.0
236,10.0
237,3.0
238,8.0
239,6.0
240,4.0
241,9.0
242,9.0
243,3.0
244,10.0
245,10.0
246,1.0
247,4.0
248,1.0
249,5.0
250,2.0
251,5.0
252,10.0
253,6.0
254,4.0
255,3.0
256,6.0
257,10.0
258,7.0
259,2.0
260,8.0
261,1.0
262,5.0
263,2.0
264,5.0
265,9.0
266,7.0
267,2.0
268,4.0
269,1.0
270,7.0
271,10.0
272,8.0
273,6.0
274,10.0
275,4.0
276,6.0
277,6.0
278,1.0
279,7.0
280,7.0
281,2.0
282,8.0
283,2.0
284,5.0
285,10.0
286,1.0
287,3.0
288,9.0
289,3.0
290,5.0
291,3.0
292,9.0
293,3.0
294,3.0
295,2.0
296,8.0
297,5.0
298,10.0
299,8.0
300,9.0
301,7.0
302,4.0
303,3.0
304,8.0
305,8.0
306,8.0
307,8.0
308,3.0
309,2.0
310,10.0
311,2.0
312,10.0
313,3.0
314,3.0
315,3.0
316,3.0
317,9.0
318,3.0
319,1.0
320,10.0
321,2.0
322,9.0
323,9.0
324,7.0
325,8.0
326,3.0
327,7.0
328,6.0
329,1.0
330,8.0
331,3.0
332,7.0
333,7.0
334,2.0
335,3.0
336,10.0
337,7.0
338,10.0
339,10.0
340,2.0
341,4.0
342,4.0
343,7.0
344,5.0
345,8.0
346,7.0
347,9.0
348,4.0
349,10.0
350,5.0
351,5.0
352,7.0
353,7.0
354,7.0
355,4.0
356,3.0
357,1.0
358,9.0
359,6.0
360,5.0
361,6.0
362,8.0
363,2.0
364,10.0
365,5.0
366,7.0
367,7.0
368,1.0
369,1.0
370,7.0
371,1.0
372,5.0
373,8.0
374,6.0
375,10.0
376,9.0
377,8.0
378,9.0
379,5.0
380,1.0
381,8.0
382,9.0
383,2.0
384,6.0
385,8.0
386,9.0
387,10.0
388,8.0
389,9.0
390,6.0
391,7.0
392,1.0
393,1.0
394,2.0
395,6.0
396,9.0
397,8.0
398,2.0
399,4.0
400,7.0
401,2.0
402,7.0
403,4.0
404,3.0
405,9.0
406,1.0
407,8.0
408,8.0
409,4.0
410,8.0
411,3.0
412,5.0
413,7.0
414,10.0
415,1.0
416,3.0
417,6.0
418,5.0
419,9.0
420,4.0
421,6.0
422,7.0
423,7.0
424,1.0
425,7.0
426,6.0
427,8.0
428,5.0
429,10.0
430,1.0
431,1.0
432,5.0
433,9.0
434,10.0
435,3.0
436,8.0
437,1.0
438,1.0
439,10.0
440,1.0
441,4.0
442,3.0
443,5.0
444,7.0
445,4.0
446,3.0
447,8.0
448,6.0
449,10.0
450,2.0
451,5.0
452,3.0
453,8.0
454,6.0
455,5.0
456,2.0
457,3.0
458,1.0
459,1.0
460,1.0
461,7.0
462,8.0
463,7.0
464,2.0
465,3.0
466,4.0
467,10.0
468,1.0
469,1.0
470,3.0
471,3.0
472,2.0
473,1.0
474,3.0
475,5.0
476,9.0
477,3.0
478,10.0
479,3.0
480,1.0
481,2.0
482,10.0
483,1.0
484,6.0
485,10.0
486,8.0
487,8.0
488,10.0
489,10.0
490,6.0
491,8.0
492,7.0
493,4.0
494,7.0
495,7.0
496,4.0
497,5.0
498,8.0
499,7.0
500,4.0
501,4.0
502,8.0
503,5.0
504,8.0
505,4.0
506,7.0
507,5.0
508,3.0
509,9.0
510,7.0
511,2.0
512,4.0
513,1.0
514,8.0
515,9.0
516,5.0
517,7.0
518,6.0
519,3.0
520,1.0
521,9.0
522,9.0
523,2.0
524,6.0
525,7.0
526,2.0
527,2.0
528,7.0
529,4.0
530,2.0
531,9.0
532,9.0
533,5.0
534,3.0
535,4.0
536,7.0
537,4.0
538,4.0
539,8.0
540,10.0
541,9.0
542,7.0
543,4.0
544,2.0
545,8.0
546,6.0
547,2.0
548,1.0
549,5.0
550,5.0
551,10.0
552,3.0
553,9.0
554,10.0
555,5.0
556,9.0
557,10.0
558,8.0
559,8.0
560,9.0
561,1.0
562,5.0
563,6.0
564,7.0
565,9.0
566,10.0
567,7.0
568,4.0
569,10.0
570,3.0
571,7.0
572,1.0
573,7.0
574,5.0
575,6.0
576,1.0
577,3.0
578,1.0
579,3.0
580,6.0
581,9.0
582,8.0
583,5.0
584,2.0
585,1.0
586,7.0
587,1.0
588,7.0
589,9.0
590,8.0
591,3.0
592,5.0
593,7.0
594,6.0
595,3.0
596,9.0
597,1.0
598,3.0
599,3.0
600,6.0
601,3.0
602,4.0
603,5.0
604,9.0
605,9.0
606,4.0
607,6.0
608,8.0
609,7.0
610,4.0
611,4.0
612,1.0
613,4.0
614,10.0
615,6.0
616,5.0
617,6.0
618,10.0
619,2.0
620,2.0
621,10.0
622,7.0
623,5.0
624,2.0
625,1.0
626,3.0
627,2.0
628,8.0
629,8.0
630,7.0
631,9.0
632,10.0
633,3.0
634,5.0
635,5.0
636,5.0
637,10.0
638,8.0
639,3.0
640,10.0
641,9.0
642,3.0
643,9.0
644,8.0
645,5.0
646,5.0
647,2.0
648,7.0
649,3.0
650,8.0
651,1.0
652,6.0
653,7.0
654,8.0
655,2.0
656,8.0
657,4.0
658,7.0
659,6.0
660,4.0
661,3.0
662,7.0
663,4.0
664,2.0
665,2.0
666,5.0
667,9.0
668,10.0
669,5.0
670,2.0
671,3.0
672,3.0
673,10.0
674,8.0
675,10.0
676,9.0
677,9.0
678,7.0
679,9.0
680,6.0
681,2.0
682,1.0
683,10.0
684,10.0
685,6.0
686,6.0
687,2.0
688,8.0
689,6.0
690,5.0
691,8.0
692,10.0
693,3.0
694,5.0
695,4.0
696,9.0
697,8.0
698,4.0
699,10.0
700,6.0
701,9.0
702,10.0
703,4.0
704,4.0
705,1.0
706,7.0
707,1.0
708,5.0
709,10.0
710,10.0
711,6.0
712,8.0
713,5.0
714,6.0
715,3.0
716,6.0
717,3.0
718,5.0
719,3.0
720,9.0
721,8.0
722,7.0
723,1.0
724,6.0
725,3.0
726,6.0
727,8.0
728,8.0
729,3.0
730,10.0
731,1.0
732,4.0
733,9.0
734,5.0
735,5.0
736,9.0
737,1.0
738,10.0
739,3.0
740,8.0
741,3.0
742,7.0
743,1.0
744,9.0
745,2.0
746,3.0
747,3.0
748,5.0
749,2.0
750,8.0
751,1.0
752,7.0
753,9.0
754,2.0
755,6.0
756,5.0
757,9.0
758,3.0
759,3.0
760,4.0
761,6.0
762,3.0
763,4.0
764,7.0
765,9.0
766,3.0
767,3.0
768,5.0
769,1.0
770,5.0
771,10.0
772,8.0
773,4.0
774,4.0
775,2.0
776,7.0
777,2.0
778,1.0
779,2.0
780,9.0
781,9.0
782,10.0
783,6.0
784,10.0
785,1.0
786,9.0
787,8.0
788,8.0
789,4.0
790,2.0
791,8.0
792,5.0
793,8.0
794,1.0
795,4.0
796,5.0
797,4.0
798,6.0
799,7.0
800,9.0
801,2.0
802,1.0
803,5.0
804,9.0
805,8.0
806,4.0
807,5.0
808,8.0
809,6.0
810,9.0
811,3.0
812,10.0
813,9.0
