id,x,y
0,365.0,689.0
1,146.0,180.0
2,792.0,5.0
3,658.0,510.0
4,461.0,270.0
5,299.0,531.0
6,812.0,228.0
7,643.0,90.0
8,615.0,630.0
9,258.0,42.0
10,616.0,299.0
11,475.0,957.0
12,425.0,473.0
13,406.0,64.0
14,656.0,369.0
15,202.0,467.0
16,318.0,21.0
17,579.0,587.0
18,458.0,354.0
19,575.0,871.0
20,47.0,512.0
21,568.0,742.0
22,128.0,436.0
23,546.0,806.0
24,197.0,696.0
25,615.0,300.0
26,852.0,563.0
27,772.0,803.0
28,678.0,342.0
29,916.0,176.0
30,390.0,949.0
31,113.0,782.0
32,226.0,736.0
33,119.0,923.0
34,584.0,572.0
35,134.0,554.0
36,912.0,173.0
37,827.0,233.0
38,851.0,677.0
39,598.0,322.0
40,627.0,472.0
41,94.0,442.0
42,688.0,274.0
43,977.0,176.0
44,597.0,461.0
45,931.0,23.0
46,170.0,640.0
47,941.0,601.0
48,873.0,487.0
49,797.0,95.0
50,451.0,816.0
51,866.0,970.0
52,833.0,912.0
53,106.0,913.0
54,260.0,107.0
55,332.0,45.0
56,685.0,613.0
57,728.0,372.0
58,487.0,497.0
59,702.0,440.0
60,717.0,412.0
61,635.0,794.0
62,927.0,972.0
63,635.0,356.0
64,634.0,540.0
65,658.0,261.0
66,303.0,168.0
67,707.0,410.0
68,254.0,135.0
69,346.0,29.0
70,75.0,79.0
71,893.0,987.0
72,729.0,372.0
73,29.0,910.0
74,356.0,39.0
75,274.0,943.0
76,322.0,96.0
77,664.0,396.0
78,704.0,236.0
79,415.0,837.0
80,576.0,587.0
81,750.0,977.0
82,726.0,363.0
83,861.0,948.0
84,302.0,129.0
85,415.0,989.0
86,199.0,135.0
87,801.0,405.0
88,679.0,426.0
89,994.0,804.0
90,311.0,116.0
91,739.0,898.0
92,268.0,97.0
93,176.0,991.0
94,688.0,588.0
95,107.0,836.0
96,708.0,522.0
97,679.0,864.0
98,985.0,877.0
99,954.0,950.0
100,615.0,750.0
