id,lambda
0,0.0
1,42.0
2,56.0
3,29.0
4,28.0
5,66.0
6,92.0
7,99.0
8,97.0
9,75.0
10,52.0
11,13.0
12,67.0
13,69.0
14,60.0
15,77.0
16,26.0
17,97.0
18,74.0
19,26.0
20,28.0
21,60.0
22,74.0
23,87.0
24,95.0
25,59.0
26,56.0
27,64.0
28,42.0
29,68.0
30,15.0
31,59.0
32,62.0
33,29.0
34,66.0
35,63.0
36,24.0
37,9.0
38,73.0
39,60.0
40,100.0
41,56.0
42,75.0
43,37.0
44,100.0
45,4.0
46,100.0
47,33.0
48,96.0
49,28.0
50,78.0
51,92.0
52,76.0
53,84.0
54,54.0
55,3.0
56,14.0
57,69.0
58,99.0
59,66.0
60,56.0
61,31.0
62,8.0
63,45.0
64,15.0
65,10.0
66,76.0
67,98.0
68,99.0
69,14.0
70,75.0
71,91.0
72,59.0
73,51.0
74,66.0
75,35.0
76,66.0
77,77.0
78,24.0
79,40.0
80,28.0
81,53.0
82,81.0
83,52.0
84,72.0
85,79.0
86,22.0
87,57.0
88,46.0
89,60.0
90,59.0
91,87.0
92,88.0
93,15.0
94,71.0
95,93.0
96,79.0
97,5.0
98,69.0
99,91.0
100,52.0
101,16.0
102,44.0
103,46.0
104,43.0
105,66.0
106,73.0
107,94.0
108,47.0
109,16.0
110,44.0
111,52.0
112,59.0
113,83.0
114,63.0
115,100.0
116,29.0
117,26.0
118,67.0
119,70.0
120,16.0
121,78.0
122,32.0
123,100.0
124,89.0
125,52.0
126,96.0
127,52.0
128,88.0
129,51.0
130,4.0
131,45.0
132,83.0
133,46.0
134,75.0
135,99.0
136,67.0
137,19.0
138,22.0
139,4.0
140,23.0
141,22.0
142,70.0
143,80.0
144,74.0
145,10.0
146,36.0
147,80.0
148,19.0
149,49.0
150,22.0
151,79.0
152,59.0
153,42.0
154,53.0
155,72.0
156,1.0
157,10.0
158,7.0
159,88.0
160,33.0
161,66.0
162,60.0
163,29.0
164,52.0
165,25.0
166,49.0
167,58.0
168,83.0
169,25.0
170,77.0
171,87.0
172,25.0
173,90.0
174,89.0
175,32.0
176,18.0
177,57.0
178,61.0
179,6.0
180,46.0
181,48.0
182,57.0
183,14.0
184,69.0
185,67.0
186,75.0
187,27.0
188,34.0
189,75.0
190,9.0
191,75.0
192,95.0
193,92.0
194,74.0
195,60.0
196,37.0
197,89.0
198,10.0
199,19.0
200,1.0
201,52.0
202,81.0
203,85.0
204,46.0
205,35.0
206,38.0
207,15.0
208,33.0
209,83.0
210,100.0
211,87.0
212,60.0
213,9.0
214,68.0
215,8.0
216,12.0
217,12.0
218,56.0
219,91.0
220,88.0
221,56.0
222,77.0
223,37.0
224,99.0
225,17.0
226,28.0
227,89.0
228,83.0
229,50.0
230,65.0
231,59.0
232,38.0
233,31.0
234,66.0
235,49.0
236,11.0
237,17.0
238,6.0
239,18.0
240,83.0
241,60.0
242,51.0
243,48.0
244,95.0
245,73.0
246,91.0
247,26.0
248,30.0
249,81.0
250,34.0
251,69.0
252,57.0
253,39.0
254,31.0
255,3.0
256,66.0
257,48.0
258,20.0
259,15.0
260,32.0
261,73.0
262,90.0
263,91.0
264,9.0
265,92.0
266,5.0
267,5.0
268,52.0
269,56.0
270,43.0
271,86.0
272,71.0
273,6.0
274,47.0
275,98.0
276,50.0
277,9.0
278,92.0
279,31.0
280,44.0
281,60.0
282,87.0
283,76.0
284,25.0
285,76.0
286,9.0
287,89.0
288,74.0
289,18.0
290,95.0
291,96.0
292,92.0
293,93.0
294,30.0
295,34.0
296,6.0
297,34.0
298,31.0
299,22.0
300,39.0
301,10.0
302,99.0
303,96.0
304,33.0
305,27.0
306,85.0
307,77.0
308,18.0
309,81.0
310,24.0
311,64.0
312,68.0
313,1.0
314,39.0
315,22.0
316,2.0
317,10.0
318,85.0
319,6.0
320,33.0
321,51.0
322,46.0
323,4.0
324,65.0
325,56.0
326,91.0
327,17.0
328,66.0
329,27.0
330,56.0
331,64.0
332,53.0
333,2.0
334,52.0
335,60.0
336,84.0
337,70.0
338,19.0
339,100.0
340,5.0
341,88.0
342,32.0
343,15.0
344,74.0
345,98.0
346,79.0
347,28.0
348,79.0
349,38.0
350,70.0
351,57.0
352,97.0
353,21.0
354,72.0
355,48.0
356,28.0
357,77.0
358,40.0
359,100.0
360,27.0
361,20.0
362,22.0
363,67.0
364,86.0
365,57.0
366,21.0
367,67.0
368,96.0
369,52.0
370,2.0
371,82.0
372,39.0
373,63.0
374,62.0
375,91.0
376,72.0
377,42.0
378,15.0
379,6.0
380,85.0
381,87.0
382,55.0
383,26.0
384,47.0
385,5.0
386,94.0
387,27.0
388,94.0
389,88.0
390,6.0
391,66.0
392,34.0
393,98.0
394,83.0
395,70.0
396,29.0
397,81.0
398,38.0
399,75.0
400,2.0
