id,x,y
0,0.0,0.0
1,878.0,606.0
2,35.0,593.0
3,320.0,125.0
4,189.0,244.0
5,274.0,784.0
6,900.0,310.0
7,742.0,640.0
8,800.0,448.0
9,57.0,755.0
10,522.0,327.0
11,528.0,268.0
12,461.0,328.0
13,325.0,726.0
14,788.0,496.0
15,626.0,660.0
16,720.0,744.0
17,3.0,417.0
18,32.0,306.0
19,65.0,233.0
20,827.0,442.0
21,347.0,566.0
22,545.0,389.0
23,452.0,670.0
24,236.0,564.0
25,439.0,425.0
26,69.0,17.0
27,468.0,416.0
28,103.0,137.0
29,689.0,261.0
30,300.0,603.0
31,378.0,187.0
32,790.0,584.0
33,336.0,860.0
34,386.0,199.0
35,522.0,461.0
36,356.0,214.0
37,947.0,18.0
38,431.0,1000.0
39,817.0,983.0
40,71.0,731.0
41,918.0,54.0
42,989.0,840.0
43,260.0,262.0
44,904.0,724.0
45,970.0,295.0
46,567.0,694.0
47,426.0,75.0
48,24.0,178.0
49,656.0,590.0
50,128.0,178.0
51,969.0,965.0
52,309.0,968.0
53,855.0,798.0
54,587.0,48.0
55,118.0,736.0
56,838.0,354.0
57,274.0,298.0
58,311.0,702.0
59,183.0,963.0
60,392.0,495.0
61,950.0,484.0
62,621.0,676.0
63,52.0,482.0
64,956.0,934.0
65,745.0,263.0
66,289.0,149.0
67,689.0,900.0
68,216.0,107.0
69,852.0,560.0
70,45.0,441.0
71,638.0,84.0
72,66.0,842.0
73,290.0,815.0
74,68.0,509.0
75,521.0,672.0
76,100.0,855.0
77,408.0,483.0
78,491.0,455.0
79,536.0,563.0
80,114.0,255.0
81,383.0,536.0
82,902.0,19.0
83,964.0,423.0
84,610.0,39.0
85,719.0,961.0
86,837.0,83.0
87,657.0,185.0
88,289.0,599.0
89,747.0,259.0
90,292.0,168.0
91,552.0,548.0
92,560.0,212.0
93,128.0,950.0
94,211.0,939.0
95,160.0,473.0
96,32.0,550.0
97,353.0,65.0
98,995.0,695.0
99,72.0,691.0
100,19.0,172.0
101,237.0,657.0
102,994.0,883.0
103,457.0,195.0
104,35.0,32.0
105,425.0,288.0
106,12.0,586.0
107,560.0,747.0
108,302.0,972.0
109,891.0,540.0
110,812.0,30.0
111,206.0,371.0
112,241.0,223.0
113,436.0,508.0
114,601.0,81.0
115,298.0,860.0
116,977.0,911.0
117,188.0,304.0
118,545.0,745.0
119,318.0,269.0
120,839.0,548.0
121,107.0,557.0
122,262.0,668.0
123,824.0,424.0
124,859.0,540.0
125,477.0,909.0
126,323.0,639.0
127,954.0,411.0
128,271.0,682.0
129,412.0,518.0
130,751.0,85.0
131,922.0,84.0
132,13.0,661.0
133,354.0,560.0
134,524.0,576.0
135,522.0,565.0
136,228.0,552.0
137,573.0,723.0
138,71.0,320.0
139,627.0,736.0
140,760.0,323.0
141,668.0,714.0
142,777.0,669.0
143,685.0,750.0
144,654.0,333.0
145,63.0,754.0
146,477.0,613.0
147,224.0,523.0
148,662.0,829.0
149,515.0,78.0
150,962.0,282.0
151,351.0,237.0
152,737.0,451.0
153,605.0,442.0
154,472.0,449.0
155,249.0,840.0
156,537.0,728.0
157,244.0,611.0
158,205.0,27.0
159,681.0,545.0
160,921.0,582.0
161,171.0,870.0
162,810.0,570.0
163,487.0,331.0
164,451.0,822.0
165,453.0,518.0
166,888.0,770.0
167,85.0,443.0
168,895.0,651.0
169,984.0,369.0
170,494.0,962.0
171,973.0,891.0
172,721.0,160.0
173,989.0,256.0
174,638.0,621.0
175,223.0,951.0
176,602.0,835.0
177,516.0,523.0
178,780.0,864.0
179,991.0,664.0
180,914.0,45.0
181,949.0,533.0
182,335.0,946.0
183,6.0,338.0
184,234.0,558.0
185,491.0,163.0
186,170.0,763.0
187,77.0,45.0
188,845.0,26.0
189,681.0,306.0
190,107.0,355.0
191,593.0,124.0
192,231.0,497.0
193,881.0,371.0
194,420.0,399.0
195,17.0,680.0
196,581.0,906.0
197,783.0,782.0
198,334.0,715.0
199,395.0,79.0
200,285.0,579.0
201,908.0,478.0
202,532.0,760.0
203,847.0,460.0
204,438.0,733.0
205,102.0,417.0
206,645.0,136.0
207,71.0,222.0
208,337.0,978.0
209,44.0,67.0
210,760.0,84.0
211,849.0,533.0
212,984.0,810.0
213,738.0,919.0
214,918.0,985.0
215,533.0,824.0
216,579.0,119.0
217,14.0,972.0
218,609.0,859.0
219,560.0,291.0
220,32.0,686.0
221,35.0,244.0
222,280.0,871.0
223,940.0,401.0
224,452.0,680.0
225,790.0,271.0
226,832.0,824.0
227,765.0,381.0
228,653.0,162.0
229,594.0,601.0
230,114.0,661.0
231,702.0,726.0
232,649.0,586.0
233,594.0,299.0
234,433.0,966.0
235,499.0,695.0
236,159.0,291.0
237,261.0,445.0
238,46.0,465.0
239,479.0,816.0
240,108.0,11.0
241,898.0,637.0
242,667.0,524.0
243,46.0,379.0
244,120.0,371.0
245,133.0,485.0
246,958.0,649.0
247,182.0,943.0
248,23.0,384.0
249,426.0,116.0
250,36.0,988.0
251,945.0,828.0
252,350.0,956.0
253,560.0,676.0
254,975.0,826.0
255,972.0,624.0
256,836.0,379.0
257,149.0,821.0
258,295.0,92.0
259,977.0,685.0
260,917.0,843.0
261,137.0,226.0
262,477.0,858.0
263,256.0,630.0
264,235.0,922.0
265,292.0,81.0
266,449.0,829.0
267,179.0,845.0
268,136.0,84.0
269,713.0,592.0
270,94.0,858.0
271,697.0,981.0
272,165.0,188.0
273,326.0,480.0
274,750.0,434.0
275,836.0,453.0
276,574.0,982.0
277,386.0,481.0
278,705.0,190.0
279,203.0,945.0
280,816.0,604.0
281,975.0,849.0
282,703.0,397.0
283,483.0,904.0
284,47.0,84.0
285,503.0,851.0
286,438.0,468.0
287,937.0,42.0
288,629.0,845.0
289,209.0,270.0
290,61.0,456.0
291,906.0,841.0
292,624.0,195.0
293,662.0,907.0
294,673.0,555.0
295,307.0,43.0
296,296.0,837.0
