id,lambda
0,0.0
1,2.0
2,8.0
3,7.0
4,5.0
5,3.0
6,7.0
7,6.0
8,3.0
9,10.0
10,2.0
11,1.0
12,8.0
13,8.0
14,8.0
15,8.0
16,4.0
17,9.0
18,7.0
19,9.0
20,4.0
21,10.0
22,4.0
23,1.0
24,2.0
25,1.0
26,9.0
27,4.0
28,4.0
29,5.0
30,8.0
31,2.0
32,9.0
33,3.0
34,1.0
35,8.0
36,2.0
37,8.0
38,3.0
39,3.0
40,2.0
41,4.0
42,3.0
43,2.0
44,7.0
45,7.0
46,9.0
47,1.0
48,5.0
49,7.0
50,10.0
51,5.0
52,9.0
53,7.0
54,7.0
55,1.0
56,3.0
57,5.0
58,9.0
59,5.0
60,4.0
61,5.0
62,9.0
63,4.0
64,4.0
65,7.0
66,8.0
67,1.0
68,8.0
69,7.0
70,2.0
71,9.0
72,5.0
73,1.0
74,6.0
75,8.0
76,4.0
77,10.0
78,9.0
79,8.0
80,4.0
81,2.0
82,8.0
83,1.0
84,5.0
85,2.0
86,7.0
87,3.0
88,1.0
89,2.0
90,6.0
91,5.0
92,10.0
93,9.0
94,6.0
95,8.0
96,6.0
97,1.0
98,8.0
99,3.0
100,8.0
101,9.0
102,2.0
103,9.0
104,8.0
105,8.0
106,2.0
107,7.0
108,4.0
109,10.0
110,5.0
111,4.0
112,10.0
113,9.0
114,9.0
115,7.0
116,6.0
117,7.0
118,10.0
119,10.0
120,5.0
121,6.0
122,1.0
123,3.0
124,4.0
125,1.0
126,5.0
127,8.0
128,3.0
129,1.0
130,4.0
131,4.0
132,3.0
133,8.0
134,6.0
135,8.0
136,1.0
137,2.0
138,2.0
139,8.0
140,9.0
141,6.0
142,10.0
143,3.0
144,1.0
145,5.0
146,6.0
147,1.0
148,4.0
149,4.0
150,10.0
151,8.0
152,10.0
153,5.0
154,5.0
155,8.0
156,10.0
157,1.0
158,2.0
159,7.0
160,4.0
161,3.0
162,4.0
163,4.0
164,6.0
165,3.0
166,1.0
167,8.0
168,9.0
169,8.0
170,5.0
171,1.0
172,2.0
173,2.0
174,10.0
175,9.0
176,4.0
177,7.0
178,7.0
179,2.0
180,1.0
181,4.0
182,2.0
183,9.0
184,6.0
185,6.0
186,8.0
187,9.0
188,1.0
189,10.0
190,2.0
191,10.0
192,6.0
193,4.0
194,9.0
195,10.0
196,1.0
197,8.0
198,1.0
199,4.0
200,2.0
201,4.0
202,2.0
203,5.0
204,5.0
205,9.0
206,1.0
207,5.0
208,7.0
209,2.0
210,4.0
211,1.0
212,1.0
213,9.0
214,3.0
215,8.0
216,1.0
217,4.0
218,9.0
219,5.0
220,8.0
221,2.0
222,10.0
223,1.0
224,6.0
225,1.0
226,9.0
227,3.0
228,9.0
229,4.0
230,1.0
231,10.0
232,8.0
233,6.0
234,4.0
235,8.0
236,2.0
237,7.0
238,8.0
239,7.0
240,7.0
241,6.0
242,6.0
243,5.0
244,6.0
245,1.0
246,8.0
247,10.0
248,1.0
249,6.0
250,1.0
251,6.0
252,5.0
