id,x,y
0,957.0,135.0
1,149.0,141.0
2,1.0,96.0
3,228.0,268.0
4,781.0,529.0
5,867.0,797.0
6,109.0,53.0
7,13.0,449.0
8,133.0,293.0
9,259.0,172.0
10,908.0,678.0
11,930.0,867.0
12,903.0,766.0
13,143.0,263.0
14,735.0,501.0
15,259.0,253.0
16,59.0,62.0
17,737.0,464.0
18,925.0,587.0
19,16.0,404.0
20,893.0,720.0
21,131.0,188.0
22,226.0,228.0
23,285.0,68.0
24,113.0,323.0
25,67.0,307.0
26,797.0,381.0
27,804.0,573.0
28,892.0,838.0
29,307.0,141.0
30,40.0,347.0
31,933.0,708.0
32,906.0,725.0
33,242.0,231.0
34,310.0,255.0
35,183.0,308.0
36,57.0,153.0
37,122.0,254.0
38,1.0,437.0
39,83.0,548.0
40,872.0,427.0
41,118.0,317.0
42,100.0,402.0
43,54.0,335.0
44,180.0,118.0
45,875.0,774.0
46,792.0,774.0
47,92.0,166.0
48,890.0,821.0
49,184.0,6.0
50,189.0,299.0
51,230.0,234.0
52,61.0,728.0
53,147.0,501.0
54,180.0,371.0
55,756.0,455.0
56,121.0,248.0
57,747.0,756.0
58,890.0,825.0
59,275.0,63.0
60,67.0,131.0
61,96.0,15.0
62,709.0,611.0
63,893.0,822.0
64,121.0,170.0
65,770.0,580.0
66,122.0,320.0
67,695.0,626.0
68,712.0,670.0
69,101.0,98.0
70,824.0,813.0
71,256.0,265.0
72,726.0,553.0
73,248.0,359.0
74,864.0,742.0
75,149.0,74.0
76,872.0,329.0
77,847.0,817.0
78,864.0,575.0
79,976.0,818.0
80,193.0,126.0
81,79.0,88.0
82,97.0,403.0
83,284.0,424.0
84,907.0,842.0
85,808.0,590.0
86,146.0,120.0
87,66.0,480.0
88,824.0,634.0
89,9.0,421.0
90,152.0,157.0
91,318.0,223.0
92,853.0,307.0
93,184.0,277.0
94,268.0,379.0
95,183.0,236.0
96,93.0,217.0
97,207.0,439.0
98,280.0,417.0
99,80.0,110.0
100,20.0,67.0
101,142.0,384.0
102,165.0,63.0
103,62.0,410.0
104,176.0,261.0
105,223.0,301.0
106,830.0,608.0
107,7.0,164.0
108,188.0,108.0
109,770.0,537.0
110,168.0,99.0
111,641.0,321.0
112,174.0,165.0
113,886.0,816.0
114,53.0,303.0
115,216.0,377.0
116,214.0,261.0
117,104.0,44.0
118,393.0,114.0
119,222.0,51.0
120,261.0,355.0
121,894.0,577.0
122,35.0,285.0
123,93.0,509.0
124,127.0,150.0
125,873.0,468.0
126,60.0,105.0
127,133.0,232.0
128,147.0,252.0
129,778.0,547.0
130,227.0,403.0
131,46.0,419.0
132,82.0,381.0
133,83.0,80.0
134,43.0,466.0
135,246.0,330.0
136,337.0,216.0
137,83.0,205.0
138,9.0,55.0
139,127.0,123.0
140,121.0,449.0
141,72.0,189.0
142,771.0,491.0
143,73.0,201.0
144,181.0,188.0
145,727.0,549.0
146,26.0,332.0
147,221.0,419.0
148,17.0,212.0
149,59.0,359.0
150,798.0,525.0
151,714.0,613.0
152,91.0,419.0
153,229.0,353.0
154,875.0,568.0
155,241.0,285.0
156,236.0,368.0
157,45.0,86.0
158,446.0,310.0
159,128.0,366.0
160,163.0,168.0
161,322.0,272.0
162,958.0,864.0
163,754.0,814.0
164,136.0,184.0
165,111.0,119.0
166,120.0,300.0
167,686.0,372.0
168,32.0,68.0
169,224.0,70.0
170,113.0,76.0
171,228.0,73.0
172,216.0,34.0
173,218.0,360.0
174,157.0,167.0
175,58.0,242.0
176,84.0,263.0
177,330.0,253.0
178,903.0,822.0
179,900.0,858.0
180,270.0,381.0
181,15.0,37.0
182,79.0,523.0
183,207.0,329.0
184,130.0,274.0
185,870.0,860.0
186,791.0,305.0
187,13.0,535.0
188,800.0,823.0
189,224.0,244.0
190,580.0,504.0
191,88.0,389.0
192,3.0,172.0
193,62.0,499.0
194,791.0,692.0
195,186.0,373.0
196,300.0,26.0
197,52.0,204.0
198,163.0,305.0
199,135.0,270.0
