node_id,lam
1,0.539
2,1.318
3,0.854
4,0.851
5,0.845
6,0.995
7,1.028
8,1.23
9,1.178
10,0.593
11,0.854
12,1.388
13,1.128
14,1.423
15,0.558
16,1.199
17,1.334
18,1.47
19,1.429
20,1.042
21,1.427
22,0.765
23,1.105
24,0.59
25,1.026
26,0.526
27,0.902
28,0.641
29,0.876
30,1.077
31,1.217
32,1.176
33,1.244
34,0.586
35,1.312
36,1.453
37,1.439
38,0.769
39,0.549
40,0.734
41,0.973
42,0.708
43,0.904
44,0.996
45,0.537
46,1.079
47,0.623
48,0.586
49,1.174
50,0.638
51,0.966
52,1.105
53,1.246
54,0.954
55,1.1
56,0.839
57,0.586
58,1.035
59,0.548
60,1.533
61,1.358
62,0.62
63,1.156
64,0.755
65,0.62
66,0.852
67,1.085
68,0.816
69,1.263
70,1.485
71,0.983
72,0.95
73,1.367
74,0.971
75,0.834
76,1.022
77,0.64
78,0.807
79,0.989
80,0.766
81,3.394
82,1.602
83,3.13
84,2.655
85,2.533
86,2.323
87,1.645
88,2.766
89,2.061
90,1.803
91,1.491
92,1.468
93,2.968
94,2.689
95,3.379
96,1.763
97,2.843
98,2.869
99,3.026
100,2.203
101,3.235
102,2.235
103,2.773
104,1.474
105,3.261
106,2.456
107,2.345
108,1.861
109,2.277
110,2.758
111,1.796
112,1.614
113,3.167
114,2.139
115,1.47
116,2.022
117,2.839
118,2.594
119,2.357
120,3.384
121,1.824
122,1.735
123,2.513
124,2.823
125,1.678
126,1.559
127,2.554
128,1.587
129,2.049
130,2.585
131,2.101
132,1.467
133,1.774
134,1.786
135,1.496
136,2.781
137,1.569
138,1.829
139,1.826
140,2.969
141,1.642
142,2.555
143,2.251
144,3.219
145,2.039
146,2.979
147,2.386
148,3.104
149,2.267
150,2.599
151,1.19
152,1.401
153,1.056
154,1.349
155,1.125
156,2.304
157,2.22
158,0.925
159,1.585
160,0.994
161,0.966
162,1.958
163,1.776
164,2.303
165,1.663
166,1.75
167,1.385
168,1.008
169,1.515
170,1.458
171,2.259
172,1.101
173,2.23
174,1.319
175,2.013
176,1.816
177,1.188
178,1.555
179,1.465
180,1.925
181,2.115
182,1.98
183,1.78
184,1.057
185,2.288
186,1.193
187,2.098
188,0.96
189,1.845
190,1.069
191,1.583
192,2.269
193,0.992
194,1.376
195,1.851
196,1.675
197,2.149
198,2.014
199,2.086
200,1.49
201,1.726
202,1.009
203,1.148
204,1.767
205,1.672
206,2.141
207,2.058
208,0.985
209,2.274
210,1.276
211,4.543
212,4.715
213,3.348
214,5.97
215,4.76
216,5.458
217,5.206
218,5.08
219,3.851
220,4.558
221,3.166
222,5.062
223,5.502
224,4.904
225,5.423
226,4.473
227,3.007
228,3.689
229,3.409
230,4.754
231,3.241
232,5.896
233,4.545
234,5.184
235,3.486
236,5.589
237,4.683
238,5.653
239,3.796
240,3.632
241,4.578
242,3.4
243,4.63
244,3.632
245,6.083
246,5.452
247,5.628
248,3.812
249,4.066
250,5.949
251,5.525
252,5.063
253,4.823
254,3.831
255,4.105
256,5.486
257,3.526
258,3.505
259,3.621
260,5.423
261,5.034
262,4.674
263,4.509
264,5.084
265,5.928
266,4.256
267,5.474
268,3.893
269,5.765
270,6.32
271,2.515
272,0.568
273,1.552
274,1.28
275,1.675
276,1.391
277,2.666
278,0.792
279,2.64
280,2.004
281,2.061
282,1.776
283,1.952
284,2.545
285,2.609
286,2.681
287,1.203
288,2.805
289,2.706
290,2.152
291,6.373
292,7.373
293,6.57
294,6.266
295,7.08
296,6.65
297,6.882
298,4.685
299,5.17
300,5.096
